"Abbeville","AL","Dothan","Henry"
"Abbeville","LA","Lafayette","Vermilion"
"Abbeville","SC","Greenwood","Abbeville"
"Aberdeen","MD","Baltimore","Harford"
"Aberdeen","MS",,"Monroe"
"Aberdeen","NC","Pinehurst-Southern Pines","Moore"
"Aberdeen","SD","Aberdeen","Brown"
"Aberdeen","WA","Aberdeen","Grays Harbor"
"Abilene","KS",,"Dickinson"
"Abilene","TX","Abilene","Taylor"
"Abingdon","MD","Baltimore","Harford"
"Abingdon","VA","Kingsport","Washington"
"Abington","MA","Boston","Plymouth"
"Abington","PA","Philadelphia","Montgomery"
"Abita Springs","LA","New Orleans","Saint Tammany"
"Absecon","NJ","Atlantic City","Atlantic"
"Accokeek","MD","Washington","Prince Georges"
"Acton","CA","Los Angeles-Long Beach-Anaheim","Los Angeles"
"Acton","MA","Boston","Middlesex"
"Acushnet","MA","Providence","Bristol"
"Acworth","GA","Atlanta","Cobb"
"Ada","OK","Ada","Pontotoc"
"Adairsville","GA","Atlanta","Bartow"
"Adams","TN","Clarksville","Montgomery"
"Adams","WI",,"Adams"
"Adamsville","AL","Birmingham","Jefferson"
"Adamsville","TN",,"McNairy"
"Addison","IL","Chicago","Du Page"
"Addison","TX","Dallas-Fort Worth","Dallas"
"Adel","GA",,"Cook"
"Adel","IA","Des Moines","Dallas"
"Adelanto","CA","Riverside","San Bernardino"
"Adrian Township","MI","Adrian","Lenawee"
"Advance","NC","Winston-Salem","Davie"
"Affton","MO","St. Louis","Saint Louis"
"Afton","OK",,"Delaware"
"Afton","WY",,"Lincoln"
"Agawam","MA","Springfield","Hampden"
"Agoura Hills","CA","Los Angeles-Long Beach-Anaheim","Los Angeles"
"Ahoskie","NC",,"Hertford"
"Aiea","HI","Urban Honolulu","Honolulu"
"Aiken","SC","Augusta","Aiken"
"Ajo","AZ","Tucson","Pima"
"Akron","OH","Akron","Summit"
"Alabaster","AL","Birmingham","Shelby"
"Alachua","FL","Gainesville","Alachua"
"Alameda","CA","San Francisco","Alameda"
"Alamo","CA","San Francisco","Contra Costa"
"Alamo","TX","McAllen","Hidalgo"
"Alamogordo","NM","Alamogordo","Otero"
"Alamosa","CO",,"Alamosa"
"Alanson","MI",,"Emmet"
"Albany","GA","Albany","Dougherty"
"Albany","KY",,"Clinton"
"Albany","NY","Albany","Albany"
"Albany","OR","Albany","Linn"
"Albemarle","NC","Albemarle","Stanly"
"Albert Lea","MN","Albert Lea","Freeborn"
"Albertville","AL","Albertville","Marshall"
"Albertville","MN","Minneapolis-St Paul","Wright"
"Albion","MI","Battle Creek","Calhoun"
"Albuquerque","NM","Albuquerque","Bernalillo"
"Alburgh","VT","Burlington","Grand Isle"
"Alburtis","PA","Allentown","Lehigh"
"Alcoa","TN","Knoxville","Blount"
"Aldie","VA","Washington","Loudoun"
"Aledo","TX","Dallas-Fort Worth","Parker"
"Alexander City","AL",,"Tallapoosa"
"Alexandria Township","NJ","New York","Hunterdon"
"Alexandria","AL","Anniston","Calhoun"
"Alexandria","IN","Indianapolis","Madison"
"Alexandria","KY","Cincinnati","Campbell"
"Alexandria","LA","Alexandria","Rapides"
"Alexandria","MN","Alexandria","Douglas"
"Alexandria","NY","Watertown","Jefferson"
"Alexandria","VA","Washington","Alexandria City"
"Algoma","WI","Green Bay","Kewaunee"
"Algona","IA",,"Kossuth"
"Algonac","MI","Detroit","Saint Clair"
"Algonquin","IL","Chicago","McHenry"
"Alhambra","CA","Los Angeles-Long Beach-Anaheim","Los Angeles"
"Alice","TX","Alice","Jim Wells"
"Aliso Viejo","CA","Los Angeles-Long Beach-Anaheim","Orange"
"Allegan","MI","Holland","Allegan"
"Allen Park","MI","Detroit","Wayne"
"Allen","TX","Dallas-Fort Worth","Collin"
"Allendale Township","MI","Grand Rapids","Ottawa"
"Allendale","NJ","New York","Bergen"
"Allentown","PA","Allentown","Lehigh"
"Alliance","OH","Canton","Stark"
"Allouez","WI","Green Bay","Brown"
"Allyn","WA","Shelton","Mason"
"Alma","AR","Fort Smith","Crawford"
"Alma","MI","Alma","Gratiot"
"Almont","MI","Detroit","Lapeer"
"Aloha","OR","Portland","Washington"
"Alpena","MI","Alpena","Alpena"
"Alpharetta","GA","Atlanta","Fulton"
"Alpine","CA","San Diego","San Diego"
"Alpine","NJ","New York","Bergen"
"Alpine","TX",,"Brewster"
"Alpine","UT","Provo","Utah"
"Alpine","WY",,"Lincoln"
"Alsip","IL","Chicago","Cook"
"Altadena","CA","Los Angeles-Long Beach-Anaheim","Los Angeles"
"Altamonte Springs","FL","Orlando","Seminole"
"Alto","NM",,"Lincoln"
"Alton","IL","St. Louis","Madison"
"Alton","NH","Laconia","Belknap"
"Alton","TX","McAllen","Hidalgo"
"Altoona","IA","Des Moines","Polk"
"Altoona","PA","Altoona","Blair"
"Altoona","WI","Eau Claire","Eau Claire"
"Alturas","CA",,"Modoc"
"Altus","OK","Altus","Jackson"
"Alva","FL","Fort Myers","Lee"
"Alva","OK",,"Woods"
"Alvarado","TX","Dallas-Fort Worth","Johnson"
"Alvaton","KY","Bowling Green","Warren"
"Alvin","TX","Houston","Brazoria"
"Amagansett","NY","New York","Suffolk"
"Amarillo","TX","Amarillo","Potter"
"Ambridge","PA","Pittsburgh","Beaver"
"Amelia Court House","VA","Richmond","Amelia"
"Amelia","OH","Cincinnati","Clermont"
"American Canyon","CA","Napa","Napa"
"American Fork","UT","Provo","Utah"
"Americus","GA","Americus","Sumter"
"Amery","WI",,"Polk"
"Ames","IA","Ames","Story"
"Amherst","MA","Springfield","Hampshire"
"Amherst","NH","Manchester","Hillsborough"
"Amherst","NY","Buffalo","Erie"
"Amherst","OH","Cleveland","Lorain"
"Amherst","VA","Lynchburg","Amherst"
"Amissville","VA","Washington","Culpeper"
"Amity Township","PA","Reading","Berks"
"Amityville","NY","New York","Suffolk"
"Ammon","ID","Idaho Falls","Bonneville"
"Amory","MS",,"Monroe"
"Anaconda","MT",,"Deer Lodge"
"Anacortes","WA","Mount Vernon","Skagit"
"Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange"
"Anamosa","IA","Cedar Rapids","Jones"
"Anchor Point","AK",,"Kenai Peninsula"
"Anchorage","AK","Anchorage","Anchorage"
"Andalusia","AL",,"Covington"
"Anderson","CA","Redding","Shasta"
"Anderson","IN","Indianapolis","Madison"
"Anderson","SC","Greenville","Anderson"
"Andersonville","TN","Knoxville","Anderson"
"Andover","KS","Wichita","Butler"
"Andover","MN","Minneapolis-St Paul","Anoka"
"Andrews","NC",,"Cherokee"
"Andrews","TX","Andrews","Andrews"
"Angel Fire","NM",,"Colfax"
"Angels","CA",,"Calaveras"
"Angier","NC","Dunn","Harnett"
"Angleton","TX","Houston","Brazoria"
"Angola","IN","Angola","Steuben"
"Ankeny","IA","Des Moines","Polk"
"Ann Arbor","MI","Ann Arbor","Washtenaw"
"Anna Maria","FL","North Port-Sarasota-Bradenton","Manatee"
"Anna","TX","Dallas-Fort Worth","Collin"
"Annandale","MN","Minneapolis-St Paul","Wright"
"Annandale","VA","Washington","Fairfax"
"Annapolis","CA","Santa Rosa","Sonoma"
"Annapolis","MD","Baltimore","Anne Arundel"
"Anniston","AL","Anniston","Calhoun"
"Annville","PA","Lebanon","Lebanon"
"Ansonia","CT","New Haven","New Haven"
"Anthem","AZ","Phoenix","Maricopa"
"Anthony","NM","Las Cruces","Dona Ana"
"Antigo","WI",,"Langlade"
"Antioch","CA","San Francisco","Contra Costa"
"Antioch","IL","Chicago","Lake"
"Antlers","OK",,"Pushmataha"
"Antrim Township","PA","Chambersburg","Franklin"
"Apache Junction","AZ","Phoenix","Pinal"
"Apalachicola","FL",,"Franklin"
"Apex","NC","Raleigh","Wake"
